"characteristicname","mcl_value","units","description"
"Arsenic","0.01","mg/l","Human Health - Drinking Water"
"Lead","0.015","mg/l","Action Level for Infrastructure"
"Nitrate","10","mg/l","Common Agricultural Runoff"
"Mercury","0.002","mg/l","Bioaccumulation/Fish Health"
"Copper","1.3","mg/l","Industrial/Plumbing"
"Uranium","30","ug/l","Common in CA Ground Water"
"Fluoride","4","mg/l","Natural Occurence"
"Turbidity","5","NTU","Storm Runoff/Clarity"
"Total Dissolved Solids","500","mg/l","Seconday Standard - Taste"
"Selenium","0.05","mg/l","Agricultural Runoff"
